Groups;Pop;Longitude;Latitude;bio1;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9
Wmed;Mallorca4;3.086389;39.593889;162;231;103;629;101;6;49;258;51;90;191;79;36;5101;282;63;219;141;227
Macaronesia;Canaries1;-17.183333;28.183333;190;228;160;338;72;0;86;191;3;8;131;68;45;2695;276;125;151;169;220
Macaronesia;Canaries2;-13.516667;29.066667;185;220;154;160;34;0;86;91;1;5;90;69;46;2657;267;120;147;164;214
Wmed;Mallorca1;3.334556;39.736389;156;226;98;702;109;7;49;287;57;98;217;76;34;5101;277;59;218;136;222
Emed;Tunisia1;10.3334;33.1;196;281;109;154;27;0;63;65;4;12;54;119;38;6703;364;52;312;119;278
Wmed;Mallorca2;2.969972;39.791583;164;233;105;617;101;7;48;249;54;94;181;79;36;5095;284;65;219;142;230
Wmed;Mallorca3;2.326528;39.587194;169;239;109;460;80;6;48;189;46;83;123;80;35;5119;290;67;223;184;234
Emed;Israel4;35.138054;32.774036;201;264;134;532;144;0;110;352;0;2;352;98;41;5212;319;84;235;134;261
Emed;Israel1;35.13541;31.478596;171;232;100;385;93;0;106;242;0;0;242;117;45;5311;306;50;256;100;232
Wmed;SicilyQVL1;12.35165;37.924313;178;244;120;451;73;2;61;201;20;48;174;77;35;4906;298;84;214;161;240
Wmed;SicilyVMO1;13.3382;38.193739;176;245;116;591;87;4;60;253;28;58;203;63;30;5169;292;85;207;158;243
Macaronesia;Morocco1;-9.7525;31.248333;169;199;134;292;53;0;75;143;4;7;139;71;49;2495;231;87;144;144;195
Wmed;Greece1;22.852944;37.262486;172;248;103;595;112;5;73;297;19;19;271;92;36;5787;315;60;255;118;248
Wmed;Alicante2;0.218889;38.755556;181;251;117;569;92;6;56;258;46;86;182;99;39;5204;313;65;248;161;248
Wmed;Almeria1;-2.143111;36.733917;179;243;123;237;33;1;53;92;12;18;82;80;37;4684;293;78;215;158;238
Wmed;Jaen1;-2.803583;38.192444;138;227;60;477;60;9;40;166;46;46;140;119;37;6587;322;8;314;118;227
Wmed;Jaen2;-3.022778;37.768056;135;225;57;517;65;9;43;182;43;49;164;118;37;6610;320;6;314;87;225
Emed;Israel6;35.0691;31.7117;180;240;111;486;115;0;109;314;0;0;314;115;45;5227;311;60;251;111;239
Emed;Israel7;34.9735;31.7212;199;258;133;455;116;0;110;294;0;0;294;118;47;5054;325;78;247;133;256
Emed;Israel8;34.9009;31.6223;197;255;132;389;99;0;108;249;0;0;249;117;47;4950;323;76;247;132;254
Emed;Israel9;34.9041;31.5467;196;254;130;371;93;0;109;237;0;0;237;117;47;4973;322;74;248;130;253
Wmed;Formentera1;1.410785;38.66128;172;241;112;477;77;3;53;207;36;69;145;77;35;5094;288;68;220;154;236
Wmed;Granada1;-3.78333;37.33333;154;242;78;471;62;6;52;181;25;25;173;116;37;6415;334;26;308;85;242
Wmed;Albacete1;-2.48333;38.66667;131;220;53;463;59;11;35;160;57;59;120;122;38;6562;315;-1;316;111;219
