	Canaries	Mallorca	Sicily	Greece	Israel	Jaen	Alicante	Almeria	Tunisia	Morocco
Canaries	0	0.3327894	0.3639032	0.6334012	0.4749871	0.5060712	0.5003767	0.4900536	0.5077033	0.4378016
Mallorca	0.3327894	0	0.1232115	0.340287	0.3053727	0.3110737	0.2909544	0.2505208	0.3285801	0.2489752
Sicily	0.3639032	0.1232115	0	0.6537368	0.3855612	0.4356384	0.4347659	0.3283705	0.4394335	0.2188502
Greece	0.6334012	0.340287	0.6537368	0	0.6136802	0.6332425	0.7575891	0.8828296	0.7745522	0.9441516
Israel	0.4749871	0.3053727	0.3855612	0.6136802	0	0.4704793	0.475053	0.470443	0.493651	0.4532925
Jaen	0.5060712	0.3110737	0.4356384	0.6332425	0.4704793	0	0.4856496	0.5112665	0.5260313	0.4958274
Alicante	0.5003767	0.2909544	0.4347659	0.7575891	0.475053	0.4856496	0	0.5704651	0.5269809	0.4965951
Almeria	0.4900536	0.2505208	0.3283705	0.8828296	0.470443	0.5112665	0.5704651	0	0.6033886	0.6387561
Tunisia	0.5077033	0.3285801	0.4394335	0.7745522	0.493651	0.5260313	0.5269809	0.6033886	0	0.5394586
Morocco	0.4378016	0.2489752	0.2188502	0.9441516	0.4532925	0.4958274	0.4965951	0.6387561	0.5394586	0
